x,number,Day,Date,Substrate,sub.day,sub.temp,subs,temp,bank,nh4.k,srp.k,ER.mgm2h,GPP.mgm2h,chla.ugcm2,nh4.bkd,srp.bkd,no3.bkd,doc.mgl,score,score2
,1,Day 7,11/1/2023,Cobble.20.1,Cobble.20.1.Day 7,Cobble.20,Cobble,20,1,0.879084,0.30132,-2.15284456,2.247098059,0.28,4,14.3,230.9,2.6,1,1
,4,Day 7,11/1/2023,Cobble.20.3,Cobble.20.3.Day 7,Cobble.20,Cobble,20,3,0.879084,0.30132,-2.874702639,0.428268158,0.56,4,16.6,122.7,3.4,1,1
,7,Day 7,11/1/2023,Cobble.20.2,Cobble.20.2.Day 7,Cobble.20,Cobble,20,2,0.879084,0.30132,-2.810542764,1.489347447,0.24,4,35.2,154,5.8,1,1
,10,Day 7,11/1/2023,Cobble.20.4,Cobble.20.4.Day 7,Cobble.20,Cobble,20,4,0.879084,0.30132,-10.60495904,6.276802012,1.1,4,13.1,100.7,2.6,1,1
,2,Day 7,11/1/2023,Cobble.23.1,Cobble.23.1.Day 7,Cobble.23,Cobble,23,1,0.481878,0.4858668,-0.807232023,5.663043112,0.52,4,16.5,177.4,2.6,2,1
,5,Day 7,11/1/2023,Cobble.23.3,Cobble.23.3.Day 7,Cobble.23,Cobble,23,3,0.481878,0.4858668,-3.248440567,2.237814613,0.61,4,16.4,118.5,3.5,2,1
,8,Day 7,11/1/2023,Cobble.23.2,Cobble.23.2.Day 7,Cobble.23,Cobble,23,2,0.481878,0.4858668,-3.614424724,3.005087564,0.3,4,25.1,183.3,2.9,2,1
,11,Day 7,11/1/2023,Cobble.23.4,Cobble.23.4.Day 7,Cobble.23,Cobble,23,4,0.481878,0.4858668,-8.445142282,4.492344723,4.27,4,23.2,87.5,2.8,2,1
,3,Day 7,11/1/2023,Cobble.26.1,Cobble.26.1.Day 7,Cobble.26,Cobble,26,1,0.7015788,0.9790452,-4.484570269,3.578473716,0.77,4,16.2,176.1,2.5,3,1
,6,Day 7,11/1/2023,Cobble.26.3,Cobble.26.3.Day 7,Cobble.26,Cobble,26,3,0.7015788,0.9790452,-6.00452781,0,0.88,4,17.4,69.3,2.5,3,1
,9,Day 7,11/1/2023,Cobble.26.2,Cobble.26.2.Day 7,Cobble.26,Cobble,26,2,0.7015788,0.9790452,-0.563406853,0.322188384,0.53,4,47.4,210.1,2.4,3,1
,12,Day 7,11/1/2023,Cobble.26.4,Cobble.26.4.Day 7,Cobble.26,Cobble,26,4,0.7015788,0.9790452,-7.790994663,21.27445426,0.43,4,13.4,9.2,3.9,3,1
,1,Day 14,11/8/2023,Cobble.20.1,Cobble.20.1.Day 14,Cobble.20,Cobble,20,1,2.0189628,1.185264,0,0.769883608,0.47,2,2,7,6.5,1,2
,4,Day 14,11/8/2023,Cobble.20.3,Cobble.20.3.Day 14,Cobble.20,Cobble,20,3,2.0189628,1.185264,-0.076435022,0,0.67,2,2,2,5.6,1,2
,7,Day 14,11/8/2023,Cobble.20.2,Cobble.20.2.Day 14,Cobble.20,Cobble,20,2,2.0189628,1.185264,0,0,0.5,2,10,4.7,4.3,1,2
,10,Day 14,11/8/2023,Cobble.20.4,Cobble.20.4.Day 14,Cobble.20,Cobble,20,4,2.0189628,1.185264,0,0,0.61,2,4.1,7.1,6.3,1,2
,2,Day 14,11/8/2023,Cobble.23.1,Cobble.23.1.Day 14,Cobble.23,Cobble,23,1,2.5095312,1.1805372,0,0.347518177,0.63,2,2,4.5,5.2,2,2
,5,Day 14,11/8/2023,Cobble.23.3,Cobble.23.3.Day 14,Cobble.23,Cobble,23,3,2.5095312,1.1805372,0,0,1.05,2,2,3.2,6.9,2,2
,8,Day 14,11/8/2023,Cobble.23.2,Cobble.23.2.Day 14,Cobble.23,Cobble,23,2,2.5095312,1.1805372,0,0,1.28,2,6.7,10,6.4,2,2
,11,Day 14,11/8/2023,Cobble.23.4,Cobble.23.4.Day 14,Cobble.23,Cobble,23,4,2.5095312,1.1805372,-0.899615967,0,0.49,2,2,6.5,6.4,2,2
,3,Day 14,11/8/2023,Cobble.26.1,Cobble.26.1.Day 14,Cobble.26,Cobble,26,1,2.8409508,1.518714,-3.688211637,0.252766162,1.08,2,2,2,5.1,3,2
,6,Day 14,11/8/2023,Cobble.26.3,Cobble.26.3.Day 14,Cobble.26,Cobble,26,3,2.8409508,1.518714,-0.279493186,0,1.17,2,2,2,6.4,3,2
,9,Day 14,11/8/2023,Cobble.26.2,Cobble.26.2.Day 14,Cobble.26,Cobble,26,2,2.8409508,1.518714,0,0.849598533,0.91,2,20.1,2,5.7,3,2
,12,Day 14,11/8/2023,Cobble.26.4,Cobble.26.4.Day 14,Cobble.26,Cobble,26,4,2.8409508,1.518714,-0.070263877,0.59021657,0.52,2,2,2,5.1,3,2
,5,Day 21,11/15/2023,Cobble.20.1,Cobble.20.1.Day 21,Cobble.20,Cobble,20,1,2.3023116,1.0800972,0,3.034524852,0.812,6,4,5.2,2.5,1,3
,11,Day 21,11/15/2023,Cobble.20.2,Cobble.20.2.Day 21,Cobble.20,Cobble,20,2,2.3023116,1.0800972,0,3.652906194,1.2,6,2,3.7,2.4,1,3
,18,Day 21,11/15/2023,Cobble.20.3,Cobble.20.3.Day 21,Cobble.20,Cobble,20,3,2.3023116,1.0800972,0,0.318396504,0.838,6,4,8.9,4.4,1,3
,23,Day 21,11/15/2023,Cobble.20.4,Cobble.20.4.Day 21,Cobble.20,Cobble,20,4,2.3023116,1.0800972,-0.470449796,0,0.256,6,2,7.1,3.4,1,3
,6,Day 21,11/15/2023,Cobble.23.1,Cobble.23.1.Day 21,Cobble.23,Cobble,23,1,3.6624996,1.3439196,-0.162706365,2.828452263,1.11,6,4,8.8,3.1,2,3
,10,Day 21,11/15/2023,Cobble.23.2,Cobble.23.2.Day 21,Cobble.23,Cobble,23,2,3.6624996,1.3439196,0,0.684507042,0.83,6,2,4.2,2.7,2,3
,13,Day 21,11/15/2023,Cobble.23.3,Cobble.23.3.Day 21,Cobble.23,Cobble,23,3,3.6624996,1.3439196,0,3.23544,1.37,6,4,2,2,2,3
,21,Day 21,11/15/2023,Cobble.23.4,Cobble.23.4.Day 21,Cobble.23,Cobble,23,4,3.6624996,1.3439196,-0.588659341,9.255139147,1.03,6,2,2,1.8,2,3
,3,Day 21,11/15/2023,Cobble.26.1,Cobble.26.1.Day 21,Cobble.26,Cobble,26,1,3.521934,1.933542,-4.273188627,5.494099664,0.81,6,4,2,3.6,3,3
,7,Day 21,11/15/2023,Cobble.26.2,Cobble.26.2.Day 21,Cobble.26,Cobble,26,2,3.521934,1.933542,-0.343337516,0.914941323,1.42,6,2,2,2.8,3,3
,17,Day 21,11/15/2023,Cobble.26.3,Cobble.26.3.Day 21,Cobble.26,Cobble,26,3,3.521934,1.933542,0,13.0284737,0.726,6,4,7.2,2,3,3
,24,Day 21,11/15/2023,Cobble.26.4,Cobble.26.4.Day 21,Cobble.26,Cobble,26,4,3.521934,1.933542,0,1.732767025,0.688,6,2,2,2.9,3,3
